username,komentar,waktu,varian
Irfan,"seperti barang bekas, sangat kotor dan ada yang lepas tapi tidak ada mur bautnya, beda sama yang ditawarkan. SANGAT MENGECEWAKAN SEKALI.",Lebih dari 1 tahun lalu,Varian: Beige
Prasanti,saya lira besar termyta kecil embernya,Lebih dari 1 tahun lalu,Varian: Hijau
rika,agak kotor' debunya nempel pas di buka kok gak di bungkus plastik. tapi pas aku rakit untungnya berfungsi..,Lebih dari 1 tahun lalu,Varian: Hijau
Tiagita,bersih bersih rumah,Lebih dari 1 tahun lalu,Varian: Beige
Toko,manrab kak berfungsi,Lebih dari 1 tahun lalu,Varian: Hijau
Resti,"terimakasih. barang cepat sampai. tapi mungkin bisa didouble plastik, tadi sampai hujan , jadi airnya kena kardus sedikit..",Lebih dari 1 tahun lalu,Varian: Hijau
H***h,bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
O***a,"kurang ok, bahan pelnya tipis",Lebih dari 1 tahun lalu,Varian: Hijau
Lala,"barang sdh diterima.. lengkap.. ember kotak.pel, alat pengepel.. dan cadangan busa pel (1) semoga awet dan kuat alatnya.. belum dicoba.. terima kasih",Lebih dari 1 tahun lalu,Varian: Hijau
herlina,produk tidak semenarik fotonya,Lebih dari 1 tahun lalu,Varian: Hijau
Martha,bersih rapi.,Lebih dari 1 tahun lalu,Varian: Beige
seno,saya minta warna hijau...di kasih warna lain coklat putih,Lebih dari 1 tahun lalu,Varian: Hijau
Rudy,kenapa susah pakai mampet ga lancar ditariknya,Lebih dari 1 tahun lalu,Varian: Beige
Femi,Cocok bingits untuk bersih bersih rumah. Praktis & murah,Lebih dari 1 tahun lalu,Varian: Hijau
Indra,jossssss .. .,Lebih dari 1 tahun lalu,Varian: Hijau
Yogie,👍 muantabz,Lebih dari 1 tahun lalu,Varian: Beige
Aam,kenapa barang saya belom nyampe juga ni uda tanggal 5.padahal udah di bayar di alfamaret😴😴,Lebih dari 1 tahun lalu,Varian: Beige
Ahmad,gampang lepas kain pelnya,Lebih dari 1 tahun lalu,Varian: Hijau
gita,bersih rapi.,Lebih dari 1 tahun lalu,Varian: Beige
denis,bersih bersih rumah. bersih rapi. awet.,Lebih dari 1 tahun lalu,Varian: Hijau
Kevin,pas mau di keringin ga bisa,Lebih dari 1 tahun lalu,Varian: Hijau
Nurjamilah,enak buat ngepel. seller juga responsif dan ramah. barang sampai dengan aman tidak ada yang rusak,Lebih dari 1 tahun lalu,Varian: Hijau
P***i,buat kado jd gak tau,Lebih dari 1 tahun lalu,Varian: Hijau
Pia,bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
agung,produk bagus sesuai dengan deskripsi,Lebih dari 1 tahun lalu,Varian: Hijau
ACHMAD,awet. bersih rapi. bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
Dekanesia,"penjualnya tidak komunikatif, kalo memang produknya tidak ada kan bisa dibicarakan karena ada fitur chat sampai"" saya harus bertanya kepada kurir apakah ada barangnya... ",Lebih dari 1 tahun lalu,Varian: Hijau
A***o,bersih bersih rumah. awet. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
W***i,barangnya ga dilapisi apapun jadi penyok2,Lebih dari 1 tahun lalu,Varian: Hijau
B***a,Oke barangnya,Lebih dari 1 tahun lalu,Varian: Hijau
Sri,"bersih rapi. ,ringan n praktis",Lebih dari 1 tahun lalu,Varian: Beige
Leontius,makasih paketnya sudah sampai,Lebih dari 1 tahun lalu,Varian: Hijau
t***y,bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
ilham,mantabz sesuai yg diharapkan puas gk abal2 recomendet toko ini .... sepertinya sy beli di toped jarang mengecewakan tolong Toped dan saler jaga terus ya biar sy belanja... ,Lebih dari 1 tahun lalu,Varian: Beige
Anggrih,"Kain pel mudah lepas waktu mau dikeringkan, akhirnya manual perasnya",Lebih dari 1 tahun lalu,Varian: Hijau
Puguh,"pengiriman rapi dan cepat, barang lengkap tidak ada cacat",Lebih dari 1 tahun lalu,Varian: Hijau
Yuyenti,,Lebih dari 1 tahun lalu,Varian: Beige
Violetta,,Lebih dari 1 tahun lalu,Varian: Hijau
Luthfiaty,awet. bersih rapi. bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
Hernawan,awet. bersih bersih rumah. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
E***a,awet. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
Rendy,"gak bisa di peres, haeduh",Lebih dari 1 tahun lalu,Varian: Hijau
Rendy,"barang sesuai diskripsi gambar, seller responsif, pengiriman cepat",Lebih dari 1 tahun lalu,Varian: Hijau
Farry,bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
H***i,tidak sesuai dengan apa yg dibayangkan... harga dari 300 ribuan ternyata spt ini....,Lebih dari 1 tahun lalu,Varian: Hijau
Tedi,yang mantap pengirimannyah,Lebih dari 1 tahun lalu,Varian: Hijau
M***d,bersih bersih rumah. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Beige
Suharto,ok,Lebih dari 1 tahun lalu,Varian: Beige
Radityo,"kayaknya si harganya emng segitu, soalnya klo yang seratus nggk kek gini si kualitasnya",Lebih dari 1 tahun lalu,Varian: Hijau
Samudra,bersih bersih rumah. awet. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Beige
Ririn,"terlalu ringan kurang mantap buat ngepel. tapi utk mengeringkan lantai, sangat ampuh",Lebih dari 1 tahun lalu,Varian: Hijau
Gatot,mantap,Lebih dari 1 tahun lalu,Varian: Hijau
A***y,"bersih bersih rumah jadi gampang tapi minus di kain pel-nya kl misal mau dimasukin ke ember kadang nyangkut jd susah mau ditariknya, tutup embernya bikin was2 soalnya ka... ",Lebih dari 1 tahun lalu,Varian: Hijau
A***d,bersih bersih rumah. semoga awet,Lebih dari 1 tahun lalu,Varian: Hijau
Ela,menjual produk gagal tadinya beli lap pel ini supaya gampang ngepel tapi kaya barang rejekan tapi masih dijual juga,Lebih dari 1 tahun lalu,Varian: Beige
Nur,bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
Iin,bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
Ade,alat pel yang praktis user friendly pokonya,Lebih dari 1 tahun lalu,Varian: Hijau
A***r,bersih bersih rumah. bersih rapi. awet.,Lebih dari 1 tahun lalu,Varian: Hijau
Andrea,bersih bersih rumah. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
Wishnu,bagus. pengiriman cepat,Lebih dari 1 tahun lalu,Varian: Hijau
S***n,"barang sampe dengan aman, thank you",Lebih dari 1 tahun lalu,Varian: Beige
Sitta,barang datang langsung dicoba.. alhamdulillah semua lengkap ga ada yg kurang/rusak.,Lebih dari 1 tahun lalu,Varian: Hijau
adul,bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
Yohana,"bagus sih barangnya, tapi packaging nya tidak ditambahin Buble wrap jadi kardusnya peyok2",Lebih dari 1 tahun lalu,Varian: Hijau
Adjie,"juara nih produk, seller dan kurirnya. dari pesen, langsung di proses sama seller. dan sampai sini sekitar 24 jam. minggu juga di proses lho! sampe rumah, rakitnya gamp... ",Lebih dari 1 tahun lalu,Varian: Hijau
R***y,👍👍👍,Lebih dari 1 tahun lalu,Varian: Hijau
Den,"Ada Parts yg Kurang, dikirim sih tapi bukan Parts yg kurang malah Tongkatnya, nih gimana coba bisa nyambung",Lebih dari 1 tahun lalu,Varian: Beige
Z***e,"Ok.. ringan, cocok buat pel dalam rumah, kamar, dll.. jgn lupa dikaitin spy ga lepas2.. tks ya",Lebih dari 1 tahun lalu,Varian: Hijau
D***h,enak bgt pelnya suka makasi,Lebih dari 1 tahun lalu,Varian: Hijau
